,SalmonPrice,CodPrice,HalibutPrice,CPI,TWI
2013-04-07,39.63,10.75426722980244,47.5776118230728,95.55,92.15
2013-04-14,41.89,10.800750667348506,47.92495759134626,95.7,92.19200000000001
2013-04-21,43.07,10.774089154762631,47.092639256726045,95.85,92.798
2013-04-28,42.7,10.569605475323954,47.19329580348004,96.0,93.80799999999999
2013-05-05,41.81,10.605342758659999,48.987916962384666,96.02,93.3125
2013-05-12,41.81,10.491056051866426,48.19983635053871,96.05,93.2225
2013-05-19,42.9,10.936346254833769,49.20675923200209,96.08,92.4525
2013-05-26,43.57,10.497165877732714,48.56305543435828,96.1,92.04
2013-06-02,40.6,11.991400321895812,49.43745982330222,96.0,92.87
2013-06-09,39.69,10.275556866731321,49.73324818282149,95.9,92.86800000000001
2013-06-16,38.91,11.098339254371608,49.00976262153186,95.8,93.22
2013-06-23,41.28,10.895036966850865,48.593475861455545,95.7,94.38
2013-06-30,45.18,11.107150527798849,48.52487843834979,95.7,96.558
2013-07-07,45.36,11.208482562232994,48.86877839317942,95.8,96.608
2013-07-14,45.11,13.153881701846931,49.570714110027055,95.9,96.376
2013-07-21,46.14,11.119781517215614,48.74028569731527,96.0,96.016
2013-07-28,43.49,11.373540681819687,50.1087523754197,96.1,95.388
2013-08-04,40.45,11.62463862223053,49.16247835786826,96.08,95.466
2013-08-11,40.91,11.091817221984462,48.79035789161208,96.05,95.494
2013-08-18,44.45,11.147472187732074,48.24909759864339,96.02,95.28999999999999
2013-08-25,42.96,11.386872005415658,48.503849806314086,96.0,97.45
2013-09-01,37.92,11.69908059323993,48.95393304671655,96.12,97.784
2013-09-08,35.58,11.841463229105209,47.75874026043886,96.25,97.42
2013-09-15,31.13,11.726366415590569,47.99040331113049,96.38,96.01
2013-09-22,27.87,12.049927627464076,47.922149229049985,96.5,96.178
2013-09-29,31.87,12.274017199053802,47.65467973647728,96.5,97.922
2013-10-06,34.62,12.267801889564243,46.91280716368181,96.55,98.702
2013-10-13,34.1,12.282833231312654,46.02415116933071,96.6,98.512
2013-10-20,37.7,12.200537435075475,46.883605496619936,96.65,98.324
2013-10-27,37.9,12.319951507000741,47.057239661185854,96.7,98.22200000000001
2013-11-03,38.97,12.465618916109092,46.405048539163474,96.72,97.854
2013-11-10,37.7,12.118888926676405,46.233070062563776,96.75,97.816
2013-11-17,36.97,12.284063309111524,41.870655188025246,96.78,100.122
2013-11-24,39.08,12.076684485202355,42.519768799817065,96.8,99.352
2013-12-01,40.03,12.369461054268637,41.54189598676572,96.78,99.88
2013-12-08,47.15,12.070330892231134,45.61118395179194,96.75,100.792
2013-12-15,50.66,12.038150405157173,43.81398606227506,96.72,101.372
2013-12-22,49.12,12.844956434922143,45.99226322429808,96.7,101.034
2013-12-29,53.18,13.01560521342538,49.884559884559884,96.7,101.125
2014-01-05,52.23,11.993635490930236,49.33640098603122,96.68,101.0825
2014-01-12,49.12,11.918473542980152,49.30580516876888,96.65,101.272
2014-01-19,49.16,11.632158942032268,49.37110052494045,96.62,100.896
2014-01-26,50.11,11.55221360028798,49.81273429873559,96.6,101.1
2014-02-02,47.37,11.459209501378256,49.61228729888906,96.72,102.00800000000001
2014-02-09,45.44,11.608018068156294,49.635538497018416,96.85,102.02799999999999
2014-02-16,49.0,11.58878785427857,49.62867066624566,96.98,100.676
2014-02-23,48.89,11.529166282293362,49.8265615071207,97.1,100.284
2014-03-02,46.45,11.636591888271093,50.23506018861654,97.15,99.494
2014-03-09,43.66,11.628319072192737,50.25155933506625,97.2,99.162
2014-03-16,43.78,11.69272176153375,50.78593303240976,97.25,98.886
2014-03-23,43.79,11.685395138381741,50.533252455107366,97.3,99.536
2014-03-30,43.74,11.624082223156925,51.823204598503814,97.3,99.508
2014-04-06,43.26,11.577836598157738,49.79479621966577,97.4,98.634
2014-04-13,44.21,11.586121782279461,49.990662870320264,97.5,98.654
2014-04-20,47.82,11.734207305623618,51.99419661102203,97.6,98.46333333333332
2014-04-27,46.69,12.2978055295755,49.99578066567772,97.7,98.91499999999999
2014-05-04,44.29,11.948325798587852,50.171688897774985,97.72,98.935
2014-05-11,40.62,12.013080590098035,53.610436788361525,97.75,98.194
2014-05-18,38.94,11.941647750634736,53.827799276432266,97.78,97.83
2014-05-25,38.68,11.713819505018707,53.5105261144896,97.8,98.014
2014-06-01,38.3,12.010906982409253,53.129073697455624,97.72,97.93
2014-06-08,36.87,12.124334240478237,53.146400823738645,97.65,98.242
2014-06-15,36.02,11.904603813233038,53.296527655110026,97.58,98.1075
2014-06-22,34.97,12.311515509666304,53.03459786729212,97.5,99.342
2014-06-29,32.1,12.298712996453677,54.37816528545119,97.5,100.70599999999999
2014-07-06,36.73,12.289740057530995,54.25698212644972,97.7,101.7
